qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
TRINITY_DN10003_c0_g1_i1.p1	2018.67056488	2.12591114276	4	152	1.92684874699	0.998827117054	0.000107449868709	Methyltransferase-like protein 23	METTL23
TRINITY_DN10010_c0_g1_i1.p1	2673.18371819	10.3356796388	18	390	1.70762147764	0.0912215593213	2.81959886785e-05	Acidic leucine-rich nuclear phosphoprotein 32 family member A	
TRINITY_DN10015_c0_g1_i1.p1	2775.3735101	0.512468318107	1	8	1.70370942869	0.00671701675714	2.88618431536e-07	Actin, muscle (Fragment)	
TRINITY_DN10034_c0_g1_i1.p1	829.715382214	1.58988131005	3	675	1.18653538921	0.499338099021	2.19214974532e-06	N-glycosylase/DNA lyase	OGG1
TRINITY_DN10039_c0_g1_i1.p1	3355.60929466	22.7587531338	35	188	1.98214968482	0.0941620023509	5.28530426557e-06	V-type proton ATPase catalytic subunit A	ATPA
TRINITY_DN10039_c0_g1_i1.p1	967.821751341	38.728793586	65	6544	1.01529645655	0.0720145730532	1.61494404969e-06	V-type ATP synthase alpha chain	ATPA
TRINITY_DN10041_c0_g1_i1.p1	2783.16817674	0.525960448269	1	9	1.96781582409	0.499148211244	7.18771607136e-08	Hsc70-interacting protein 1	
TRINITY_DN10041_c0_g1_i1.p1	2783.16817674	0.525960448269	1	10	1.83554154757	0.249574105622	4.45137457802e-08	Hsc70-interacting protein 2	
TRINITY_DN10102_c0_g1_i1.p1	870.881763326	2.54819646037	5	1021	1.12655358359	0.355095971884	6.58092020666e-07	Phosphopantothenate--cysteine ligase	
TRINITY_DN10107_c0_g2_i1.p1	819.023952452	1.24329400143	2	3	0.922087103406	0.00842997766997	0.000481713009713	Rho-related protein racC	
TRINITY_DN10107_c0_g2_i1.p1	812.436039821	1.23329345409	2	4	0.919807407891	0.00905054674576	0.00181010934915	Rho-related protein racG	
TRINITY_DN10107_c0_g2_i1.p1	709.442775486	7.63053659071	11	502	0.905969116239	0.0607341889982	0.00014429379736	Ras-related C3 botulinum toxin substrate 1	
TRINITY_DN10107_c0_g2_i1.p1	627.486223433	2.90486966362	5	93	0.849879363447	0.016757689275	0.000164937886565	Rho-related GTP-binding protein RhoC	
TRINITY_DN10107_c0_g2_i1.p1	549.715450771	1.34556179692	2	26	0.809886180308	0.0	0.0	Ras-related protein rac-2	
TRINITY_DN10107_c0_g2_i1.p1	420.336985742	9.52073973059	15	2226	0.798920976276	0.0769540517408	2.67278378975e-05	Cell division control protein 42 homolog	
TRINITY_DN10107_c0_g2_i1.p1	454.71969698	4.69705288282	8	463	0.787334456114	0.0291408168851	9.72186494122e-05	Transforming protein RhoA	
TRINITY_DN10107_c0_g2_i1.p1	430.166457164	1.78833872155	3	75	0.76968054472	0.0143619904927	0.000105344673541	Rho-related GTP-binding protein RhoQ	
TRINITY_DN10107_c0_g2_i1.p1	428.748266661	0.650849824882	1	3	0.764223911705	0.00512143804681	0.000512143804681	Rho-related protein racF2	
TRINITY_DN10107_c0_g2_i1.p1	375.08130792	0.569382599696	1	5	0.760535289378	0.0386844632862	3.34232917852e-08	Rac-like GTP-binding protein 1	
TRINITY_DN10107_c0_g2_i1.p1	390.228228923	0.592375846437	1	6	0.748446804436	0.00442765576545	0.000442765576545	Rac-like GTP-binding protein RAC9	
TRINITY_DN10107_c0_g2_i1.p1	389.639511272	0.591482164467	1	9	0.748202462119	0.00442765576545	2.71323051841e-09	Rac-like GTP-binding protein 6	
TRINITY_DN10107_c0_g2_i1.p1	388.781550679	0.590179767788	1	6	0.747886119764	0.00446426236824	0.00037202186402	Rac-like GTP-binding protein ARAC4	
TRINITY_DN10107_c0_g2_i1.p1	388.651052503	0.589981669656	1	10	0.747845721501	0.00448518042697	0.000407743675179	Rac-like GTP-binding protein ARAC11	
TRINITY_DN10107_c0_g2_i1.p1	388.651052503	0.589981669656	1	3	0.747803878094	0.00440499453516	0.000440499453516	Rac-like GTP-binding protein ARAC6	
TRINITY_DN10107_c0_g2_i1.p1	385.060394517	0.584530998525	1	3	0.746406564325	0.00447820774073	0.000447820774073	Rac-like GTP-binding protein ARAC2	
TRINITY_DN10107_c0_g2_i1.p1	366.483337616	1.99042287732	3	128	0.746177592275	0.0180819186043	4.20184010945e-05	Rac-like GTP-binding protein RAC1	
TRINITY_DN10107_c0_g2_i1.p1	378.741457917	0.574938760711	1	9	0.74384693628	0.0044346284517	1.70922424461e-09	Rac-like GTP-binding protein 4	
